					
Titles	Views	Likes	Comments		
"BỐN MẸ CON trú ẩn dưới THUNG LŨNG núi, trong cái lều RÁCH NÁT - tập 1635"	"716,099"	"6,728"	616		
"Chuyện lạ có thật, cụ bà 100 tuổi chia sẻ cách sống thọ, khỏe như gái 18 tuổi - tập 623"	"709,167"	"9,228"	577		
"ĐỨA BÉ mang hình hài KỲ LẠ, ai nhìn thấy cũng XÓT THƯƠNG, ăn cháo với muối - tập 838"	"705,534"	"6,540"	368		
"Cuộc truy tìm nghẹt thở, đôi vợ chồng sống trong hang đá, bị lạc đường giữa rừng sâu - tập 635"	"700,994"	"7,991"	506		
"Nạn bị chồng bỏ của các cô gái đồng bào miền núi "" Mẹ Đơn Thân "" dưới tuổi 18 - tập 572"	"694,527"	"4,473"	329		
"XÓM NGHÈO sống trú ẩn trong rừng, ở ngôi nhà RÁCH NÁT te tua, BỮA ĐÓI, BỮA NO - tập 937"	"694,030"	"7,146"	310		
"CẢ XÓM ai cũng xôn xao, 2 đứa trẻ MỒ CÔI nhận món quà KHỔNG LỒ - tập 784"	"692,859"	"8,995"	410		
"HÀNH TRÌNH vượt đèo, núi dốc, tìm kiếm bốn MẸ CON ăn ngủ trong rừng - tập 1014"	"690,939"	"9,396"	616		
"Vượt đèo, băng qua suối thác, tìm kiếm đôi vợ chồng sống ẩn danh trên núi như người rừng - tập 625"	"689,043"	"8,344"	381		
"TÁ HỎA khi nhìn thấy cảnh này, ÔNG LÃO bí ẩn nằm trong căn nhà hoang - tập 768"	"687,939"	"7,642"	689		
"ÔNG CỤ, mấy chục năm, GHIỀN ăn lá ĐU ĐỦ, ăn bắp THAY CƠM - tập 1254"	"684,829"	"5,360"	436		
"BÀ CỤ nhảy tưng bừng, VUI MỪNG vì được TẶNG ngôi nhà MƠ ƯỚC - tập 811"	"681,092"	"12,841"	776		
"Cụ bà 70 tuổi sống ẩn danh trong rừng, sợ tiếp xúc với người xa lạ - tập 569"	"680,002"	"4,673"	224		
"CHA RUỘT đuổi 2 đứa CON GÁI đẹp như THIÊN THẦN ra khỏi nhà, vào trong rừng ở - 1078"	"671,282"	"12,709"	"1,231"		
"MÓN ĂN nuôi sống cả GIA ĐÌNH nghèo, ăn KHOAI rừng thay CƠM - tập 979"	"669,557"	"7,566"	845		
